Time,Value
1901-12-31,34.7
1902-01-31,38.6
1902-02-28,17.8
1902-03-31,38.9
1902-04-30,50.6
1902-05-31,113.2
1902-06-30,241.4
1902-07-31,271.6
1902-08-31,124.7
1902-09-30,52.4
1902-10-31,38.7
1902-11-30,8.2
1902-12-31,7.4
1903-01-31,4.2
1903-02-28,19.0
1903-03-31,44.1
1903-04-30,48.8
1903-05-31,111.7
1903-06-30,284.9
1903-07-31,201.0
1903-08-31,200.2
1903-09-30,62.5
1903-10-31,29.4
1903-11-30,25.2
1903-12-31,16.7
1904-01-31,8.0
1904-02-29,31.1
1904-03-31,17.1
1904-04-30,59.5
1904-05-31,120.3
1904-06-30,293.2
1904-07-31,274.0
1904-08-31,198.1
1904-09-30,119.5
1904-10-31,40.3
1904-11-30,18.0
1904-12-31,14.9
1905-01-31,9.7
1905-02-28,31.4
1905-03-31,33.7
1905-04-30,73.8
1905-05-31,165.5
1905-06-30,260.3
1905-07-31,207.7
1905-08-31,130.8
1905-09-30,69.8
1905-10-31,11.2
1905-11-30,16.4
1905-12-31,24.7
1906-01-31,20.3
1906-02-28,41.8
1906-03-31,33.8
1906-04-30,55.8
1906-05-31,93.7
1906-06-30,253.0
1906-07-31,201.7
1906-08-31,178.1
1906-09-30,54.9
1906-10-31,9.6
1906-11-30,10.1
1906-12-31,21.4
1907-01-31,49.9
1907-02-28,31.4
1907-03-31,15.8
1907-04-30,37.2
1907-05-31,177.0
1907-06-30,286.5
1907-07-31,251.4
1907-08-31,183.9
1907-09-30,50.6
1907-10-31,17.7
1907-11-30,26.3
1907-12-31,16.0
1908-01-31,45.5
1908-02-29,37.4
1908-03-31,62.0
1908-04-30,32.7
1908-05-31,153.1
1908-06-30,225.4
1908-07-31,308.3
1908-08-31,95.4
1908-09-30,23.0
1908-10-31,23.1
1908-11-30,12.9
1908-12-31,19.9
1909-01-31,17.1
1909-02-28,8.3
1909-03-31,31.0
1909-04-30,45.4
1909-05-31,125.6
1909-06-30,320.5
1909-07-31,306.0
1909-08-31,150.8
1909-09-30,38.4
1909-10-31,6.8
1909-11-30,7.4
1909-12-31,22.7
1910-01-31,15.2
1910-02-28,6.6
1910-03-31,61.6
1910-04-30,51.2
1910-05-31,207.2
1910-06-30,302.3
1910-07-31,228.7
1910-08-31,157.7
1910-09-30,37.5
1910-10-31,10.0
1910-11-30,27.9
1910-12-31,13.5
1911-01-31,10.3
1911-02-28,13.7
1911-03-31,29.0
1911-04-30,40.8
1911-05-31,211.9
1911-06-30,247.2
1911-07-31,283.4
1911-08-31,185.9
1911-09-30,108.2
1911-10-31,34.6
1911-11-30,5.4
1911-12-31,40.4
1912-01-31,5.5
1912-02-29,43.0
1912-03-31,23.1
