Date,Value
1990-01-01,164.17
1990-04-01,164.84
1990-07-01,165.83
1990-10-01,NaN
1991-01-01,166.56
1991-04-01,167.68
1991-07-01,167.98
1991-10-01,170.34
1992-01-01,NaN
1992-04-01,171.62
1992-07-01,173.58
1992-10-01,NaN
1993-01-01,174.53
1993-04-01,176.19
1993-07-01,177.61
1993-10-01,179.08
1994-01-01,NaN
1994-04-01,181.32
1994-07-01,182.06
1994-10-01,181.9
1995-01-01,182.87
1995-04-01,185.86
1995-07-01,188.71
1995-10-01,190.2
1996-01-01,192.34
1996-04-01,192.68
1996-07-01,NaN
1996-10-01,195.05
1997-01-01,196.67
1997-04-01,198.32
1997-07-01,201.04
1997-10-01,203.66
1998-01-01,206.69
1998-04-01,208.56
1998-07-01,211.46
1998-10-01,213.97
1999-01-01,216.22
1999-04-01,NaN
1999-07-01,222.23
1999-10-01,224.52
2000-01-01,228.81
2000-04-01,232.54
2000-07-01,236.77
2000-10-01,240.42
