,Country Name,Country Code,Indicator Name,Indicator Code,Attribute,year,value
138,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1800,176.84
327,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1801,177.47
516,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1802,188.99
705,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1803,190.67
894,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1804,188.4
1083,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1805,189.07
1272,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1806,192.64
1461,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1807,193.88
1650,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1808,191.51
1839,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1809,188.99
2028,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1810,186.69
2217,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1811,182.51
2406,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1812,188.11
2595,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1813,196.74
2784,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1814,219.62
2973,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1815,226.31
3162,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1816,237.32
3351,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1817,231.09
3540,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1818,259.04
3729,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1819,260.29
3918,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1820,259.95
4107,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1821,260.34
4296,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1822,246.73
4485,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1823,237.29
4674,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1824,224.8
4863,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1825,212.72
5052,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1826,201.07
5241,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1827,191.97
5430,United Kingdom,112,Debt to GDP Ratio,GGXWDG_GDP,Value,1828,182.7
